Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8697469260,GKB7116,NY,PAS,11/08/2018,21,SUBN,CHEVR,T,86430,0,0,20191209,90,90,90,355553,T802,A,0323A,,K,I,N,Union Ave,32ft W/of Middleton,0,408,D1,,Y  Y,0200A,0500A,BK,,2016,,0,V,,,,
8695462791,FCT5343,NY,PAS,10/19/2018,21,SUBN,INFIN,T,89030,18630,60730,20200907,90,90,90,361069,T301,D,1109A,,K,F,160,Wallabout St,,0,408,D1,,Y  Y,1100A,1230A,BL,,2016,,0,15,,,,
4651443588,GHG7643,NY,PAS,12/19/2018,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0736A,,MN,,,EB E HOUSTON ST @ AV,E C,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8723651453,HJV3420,NY,PAS,01/13/2019,40,SUBN,CHEVR,T,28440,0,0,20200907,47,47,47,368507,T201,P,0801A,,BX,I,N,E 227th St,5ft E/of Carpenter A,0,408,I4,,YYYYYYY,,,GY,,2008,,4,21,,,,
8651340710,HUU6125,NY,PAS,02/22/2019,16,SUBN,HONDA,T,45990,61470,54580,20190911,109,109,109,356979,T401,Q,1002A,,Q,O,134-34,Franklin Ave,,0,408,D,,YYYYYY,0700A,0700P,GY,,2018,,0,03-A,,,,
5105814277,T687284C,NY,OMT,03/22/2019,7,4DSD,TOYOT,V,0,27310,0,0,,0,0,0,,,1228P,,BX,,,BRUCKNER BLVD (E/B),@ WHITE PLAINS RD,0,1111,D,T,,,,BK,,2014,,0,,FAILURE TO STOP AT RED LIGHT,,,
8641128384,53SZ95,NY,MOT,04/29/2019,31,MCY,KAWAS,T,13610,34570,34590,20200430,14,14,14,358904,MTTF,A,1138A,,NY,F,1450,Broadway,,0,408,J3,,YYYYY,0700A,0600P,GREEN,,2001,,0,11A,,,,
4655902929,T760419C,NY,OMT,04/30/2019,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0145P,,BK,,,WB 65TH ST @ 16TH AV,E,0,1180,B,T,,,,BL,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8688425188,JFX4981,PA,PAS,10/13/2018,38,SUBN,PORSC,T,77030,0,0,20150188,84,84,84,345428,T802,B,0922P,,K,I,S,Shore Pky,25ft E/of Sheepshead,0,408,I4,,YYYYYY,0900A,1000P,BLACK,,0,,0,CC2,,,,
8694407450,62685MD,NY,COM,11/02/2018,20,SUBN,FORD,T,32645,17170,17190,20200331,6,6,6,363577,T105,C,0824A,,NY,O,45,University Pl,,0,408,D,,YYYYY,0800A,0600P,BK,,2017,,0,006,,,,
8685478650,99090MK,NY,COM,12/03/2018,21,VAN,FORD,T,85530,35780,18630,20200930,67,67,67,355147,T302,N,0448A,,K,F,2225,Tilden Ave,,0,408,D1,,Y Y Y,0300A,0600A,WH,,2012,,0,J,,,,
4648333354,598AUZ,NY,ORG,10/03/2018,36,4DSD,BUICK,V,0,0,0,0,,0,0,0,,,1107A,,QN,,,WB ROCKAWAY BLVD @ L,INCOLN ST,0,1180,B,T,,,,TN,,1999,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8686434678,HUD9622,NY,PAS,11/15/2018,20,4DSD,LEXUS,T,67530,73030,14480,20190807,61,61,61,363987,T302,J,0107P,,K,F,2183,Ocean Ave,,0,408,J2,,YYYYYYY,,,GY,,2017,,0,O,,,,
1454742290,69894PC,NY,PAS,03/01/2019,47,DELV,HIN,P,10210,17530,17550,20190331,13,13,0,928420,CTTF,0000,0844A,,NY,F,379,3RD AVE,,0,408,L2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1441814991,GVZQ87,FL,PAS,07/11/2018,21,,DODGE,S,8430,6580,31330,0,66,66,0,668022,KS12,0000,0928A,,K,O,1514,37TH ST,,0,408,D1,,BBYBBBB,0830A,1000A,BLK,0,0,-,0,,,,,
4648977841,HZH5939,NY,PAS,10/22/2018,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0124P,,BK,,,SB EASTERN PKWY @ TR,UXTON ST,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8746302207,GGF9937,NY,PAS,04/30/2019,21,SUBN,SUBAR,T,25890,78150,15720,20191102,40,40,40,361089,T201,E,1151A,,BX,O,409,E 141st St,,0,408,J3,,Y,1130A,0100P,WH,,2016,,0,59,,,,
4656966538,KUST74,FL,PAS,05/22/2019,36,UT,BMW,V,0,0,0,0,,0,0,0,,,0424P,,QN,,,NB WOODHAVEN BLVD @,65TH AVE,0,1180,B,T,,,,WHI,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8583284957,HSV2914,NY,PAS,07/24/2018,71,4DSD,TOYOT,T,59990,16040,16190,20190629,112,112,112,367871,T402,E,0101P,,Q,F,116-05,Queens Blvd,,0,408,E3,,YYYYYYY,,,GY,,2017,,0,04,,,,
8711040830,N62GUE,NJ,PAS,03/05/2019,20,2DSD,CHEVR,T,34890,10810,10910,88880088,18,18,18,345275,T106,A,1258P,,NY,F,354,W 56th St,,0,408,D,,YYYYY,0800A,0600P,WHITE,,0,,0,02,,,,
8724408967,XEUD56,NJ,PAS,01/29/2019,46,DELV,FORD,T,0,0,0,20190088,30,30,30,356491,T103,AA,0701A,,NY,I,W,Adam Clayton Powell,15ft N/of W 142nd St,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,B1,,,,
8623869928,T601079C,NY,OMT,07/05/2018,19,4DSD,TOYOT,T,10210,19270,19290,20190531,26,26,26,346086,T103,HH,0301P,,NY,F,2127,3rd Ave,,0,408,F1,,YYYYYYY,,,GY,,2009,,0,10,,,,
8674256340,GKC2597,NY,PAS,07/11/2018,51,SUBN,TESLA,T,40230,67030,36180,20190911,67,67,67,362538,T302,N,1204P,,K,F,3007,Farragut Rd,,0,408,D,,YYYYYYY,,,BK,,2017,,0,17,,,,
8672153042,AU385P,NJ,PAS,11/13/2018,46,TRAC,INTER,T,34930,10410,21680,88880088,18,18,18,358846,MTTF,B,0609A,,NY,F,4,W 58th St,,0,408,K7,,YYYYYYY,,,WHITE,,0,,0,22,,,,
8668888523,66114MB,NY,COM,10/24/2018,69,VAN,NISSA,T,13610,35710,35730,20181130,20,20,20,358246,T103,N,0456P,,NY,O,2592,Broadway,,0,408,H1,,YYYYYY,0400P,0700P,WH,,2018,,0,34,,,,
8607754269,29917ME,NY,COM,09/21/2018,46,DELV,INTER,T,41330,12550,72220,20181231,43,43,43,367961,T201,H,1134A,,BX,F,100,Hugh J Grant Cir,,0,408,I3,,YYYYYYY,,,WH,,2004,,0,12,,,,
8598242305,KSR9013,PA,PAS,01/21/2019,17,SUBN,DODGE,T,13430,5280,5430,88880088,84,84,84,363466,T301,G,1240P,,K,F,557-1,Atlantic Ave,,0,408,I4,,YYYYYYY,,,WHITE,,0,,0,07,,,,
8577065960,FCT9627,NY,PAS,05/17/2019,38,4DSD,TOYOT,T,10540,47990,10440,20201101,108,108,108,363917,T401,V,0607P,,Q,O,45-37,47th St,,0,408,I3,,YYYYYY,0900A,0700P,RD,,2005,,0,E,,,,
8701307022,FWL8799,NY,PAS,11/25/2018,10,SUBN,ROVER,T,11710,35870,35890,20200521,24,24,24,365820,T103,H,1208P,,NY,F,928,Amsterdam Ave,,0,408,K2,,YYYYYYY,,,BK,,2016,,0,17,,,,
8634819656,BCU6771,NY,PAS,09/08/2018,38,SUBN,SUBAR,T,16490,8790,61090,20191015,115,115,115,352994,T401,X,0945A,,Q,F,37-05,79th St,,0,408,J6,,Y,0900A,0700P,WH,,2016,,0,22-A,,,,
8476587326,XEDG85,NJ,PAS,07/17/2018,31,PICK,DODGE,T,34490,0,0,88880088,14,14,14,365805,T106,B,0917A,,NY,I,S,W 36th St,100ft E/of 5th Ave,0,408,K1,,YYYYY,0600A,0600P,RED,,0,,0,01,,,,
8514699258,EGZ9971,NY,PAS,04/08/2019,16,SUBN,LEXUS,T,31190,37250,37270,20200427,34,34,34,357090,T103,I,1121A,,NY,F,1310,St Nicholas Ave,,0,408,I4,,YYYYY,0830A,0400P,BL,,2010,,0,09,,,,
8506543198,43552PC,NY,APP,08/04/2018,10,REFG,HIN,T,10010,17190,17210,20190331,9,9,9,367426,T101,F,1117A,,NY,F,169,1st Ave,,0,408,I4,,YYYYYYY,,,WH,,2015,,0,14,,,,
4009691542,6M93J,NY,OMT,10/25/2018,5,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,1239P,,MN,,,EB 125TH ST @ ADAM C,LAYTON POWELL JR BLV,0,1111,C,T,,,,YW,,2016,,0,,BUS LANE VIOLATION,,,
8689280789,90256MA,NY,COM,01/30/2019,40,PICK,TOYOT,T,19190,10110,10010,20190331,23,23,23,348515,T103,B,0929A,,NY,F,301,E 111th St,,0,408,F4,,YYYYYYY,,,WH,,2013,,0,D,,,,
4650867563,EAY6965,NY,PAS,12/07/2018,36,4DSD,CHEVR,V,10350,40404,40404,0,,0,0,0,,,0242P,,BK,,,SB 4TH AVE @ 28TH ST,,0,1180,B,T,,,,WH,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8694804992,FZW2896,NY,PAS,10/15/2018,16,SUBN,ACURA,T,8440,12940,13490,20200611,108,108,108,363520,T401,V,0210P,,Q,F,62-16,34th Ave,,0,408,E2,,YYYYY,0700A,0600P,WH,,2010,,0,R,,,,
8674063123,GFH7699,PA,PAS,07/24/2018,38,VAN,TOYOT,T,10030,6280,6380,88880088,68,68,68,367395,T302,S,0315P,,K,F,1277,70th St,,0,408,F1,,Y,0830A,0700P,GREY,,0,,0,E,,,,
5104154348,HXV3164,NY,PAS,10/23/2018,7,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0914P,,QN,,,QUEENS BLVD (E/B) @,70TH ST,0,1111,D,T,,,,BK,,2005,,0,,FAILURE TO STOP AT RED LIGHT,,,
8763600444,JEA1021,NY,PAS,06/18/2019,21,4DSD,TOYOT,T,48830,53830,81330,20201029,84,84,84,350412,T301,B,1137A,,K,F,293,Henry St,,0,408,D1,,Y,1130A,0100P,BK,,2001,,0,SPCL,,,,
8686786777,JDM2041,NY,PAS,03/14/2019,40,SUBN,HONDA,T,16730,15780,30630,20201216,62,62,62,355311,T802,A,0021A,,K,O,213,Bay 29th St,,0,408,A1,,YYYYYYY,,,GY,,2019,,2,CC3,,,,
8688714411,32736JZ,NY,COM,11/29/2018,14,VAN,WORKH,T,34650,10510,13610,88880088,14,14,14,355437,T106,I,0114P,,NY,O,108,W 44th St,,0,408,H1,,YYYYYYY,,,BROWN,,2009,,0,18,,,,
8708289335,T740569C,NY,OMT,03/03/2019,46,4DSD,TOYOT,T,16910,30490,32690,20190630,34,34,34,357736,T103,B,0650A,,NY,F,176,Dyckman St,,0,408,D1,,YYYYYYY,,,BK,,2016,,0,Q,,,,
8627326794,80491MJ,NY,COM,07/10/2018,38,VAN,GMC,T,13610,0,0,20181031,26,26,26,356267,T103,C,0208P,,NY,I,W,Broadway,10ft S/of W 118th St,0,408,J6,,YYYYY,0900A,1000P,GY,,2017,,0,01,,,,
8732855758,FHW4155,NY,PAS,03/22/2019,16,4DSD,NISSA,T,6330,0,0,20210204,78,78,78,356956,T302,G,0333P,,K,I,E,12th St,40ft S/of 5th Ave,0,408,I4,,YYYYY,0800A,0400P,RD,,2008,,0,60,,,,
8683077482,GWK4071,NY,PAS,10/22/2018,20,SUBN,CADIL,T,10180,6080,6180,20190514,68,68,68,362237,T302,N,0549A,,K,O,1034,72nd St,,0,408,E2,,YYYYYYY,,,RD,,2003,,0,E,,,,
8654427577,32531MH,NY,COM,07/15/2018,20,VAN,FORD,T,18810,10010,45590,20190831,19,19,19,356258,T103,E,0641A,,NY,O,406,E 91st St,,0,408,E2,,YYYYYYY,,,GY,,2006,,0,08,,,,
8694938984,Z94CPA,NJ,PAS,02/21/2019,40,SUBN,CHEVR,T,23940,41700,15140,88880088,107,107,107,330743,T402,N,0627A,,Q,F,7177,159th St,,0,408,E2,,YYYYYYY,,,WHITE,,0,,0,Q,,,,
8636682605,46837MJ,NY,COM,07/03/2018,19,VAN,FRUEH,T,46190,59890,57900,88880088,104,104,104,363561,T402,B,1101A,,Q,F,66-93,Fresh Pond Rd,,0,408,J6,,YYYYYYY,,,BROWN,,2016,,0,26,,,,
8605040245,16449ME,NY,COM,07/03/2018,38,UTIL,FORD,T,6940,7640,7740,88880088,114,114,114,365338,T401,H,0201P,,Q,F,28-06,23rd Ave,,0,408,I3,,Y,0800A,0700P,WHITE,,2014,,0,35,,,,
4650551833,HTH1339,NY,PAS,12/03/2018,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0829A,,MN,,,SB BROADWAY @ W 196T,H ST,0,1180,B,T,,,,WH,,2006,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8721708678,T659588C,NY,OMT,01/22/2019,53,4DSD,TOYOT,T,70420,26400,26460,20191031,42,42,42,352973,T801,B,0903P,,BX,O,801,Union Ave,,0,408,F1,,YYYYYYY,,,BK,,2015,,0,D,,,,
4650450240,HJP5881,NY,PAS,11/29/2018,36,4DSD,NISSA,V,25645,40404,40404,0,,0,0,0,,,0912A,,QN,,,SB MAIN ST @ 82ND DR,,0,1180,B,T,,,,RD,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8673983605,CLY7106,NY,PAS,01/03/2019,40,4DSD,HONDA,T,48830,53950,32130,20200903,76,76,76,367347,T302,A,1017A,,K,F,451,Henry St,,0,408,J6,,YYYYYYY,,,GREY,,2012,,0,55,,,,
8567405609,0020YYD,DP,PAS,10/09/2018,31,SUBN,TOYOT,T,18190,10210,10110,20180988,19,19,19,357768,T108,M,1113P,,NY,F,239,E 60th St,,0,408,I3,,YYYYYY,0700A,1200A,GREY,,0,,0,01,,,,
1442568240,HUH4376,NY,PAS,08/14/2018,21,SDN,NISSA,S,80430,73430,23530,20200201,77,77,0,668016,QW09,0000,1006A,,K,F,1276,ST MARKS AVENUE,,0,408,D1,,BYBBYBB,0930A,1100A,SILVR,0,2014,-,0,,,,,
8655037710,GEL2659,NY,PAS,10/30/2018,38,SUBN,HUMME,T,29020,42820,52120,20190313,52,52,52,365814,T201,D,0815A,,BX,F,14,E Kingsbridge Rd,,0,408,I4,,YYYYYY,0800A,0700P,YW,,2005,,0,18,,,,
1454046831,JCU6051,NY,PAS,01/25/2019,21,SUBN,HONDA,S,36050,24690,31190,20201106,28,28,0,686922,MN10,0000,1206P,,NY,F,110,WEST 114 ST,,0,408,D1,,BYBBYBB,1130A,0100P,GRAY,0,2014,-,0,,,,,
8741971840,JAJ4639,NY,OMS,05/02/2019,21,4DSD,HYUND,T,0,0,0,20190930,103,103,103,361883,T402,D,1154A,,Q,F,9118,Beach 181st St,,0,408,D1,,Y  Y,1130A,0100P,BK,,2018,,0,H,,,,
4653321220,HJY6364,NY,PAS,02/08/2019,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0325P,,QN,,,WB THOMSON AVE @ 30T,H PL,0,1180,B,T,,,,WH,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8556847572,HCR3642,NY,PAS,05/15/2019,74,2DSD,LEXUS,T,10540,0,0,20191204,114,114,114,359625,T401,X,1000A,,Q,I,E,47th St,200ft S/of 19th Ave,0,408,D1,,YYYYYYY,,,RD,,2018,,0,CC-A,,,,
8720540930,DYN5876,NY,PAS,06/11/2019,71,4DSD,BMW,T,27258,22620,45890,20210329,105,105,105,353083,T402,N,0832A,,Q,F,139-36,254th St,,0,408,J6,,YYYYYYY,,,BL,,0,,0,R,,,,
8623415127,HTH1679,NY,PAS,10/07/2018,71,2DSD,BMW,T,37010,21190,29690,20190802,33,33,33,363922,T103,B,1130A,,NY,F,666,W 162nd St,,0,408,E2,,YYYYYYY,,,GY,,1999,,0,H,,,,
8668669205,16091JW,NY,COM,11/10/2018,38,VAN,CHEVR,T,34890,10410,10510,20190531,18,18,18,341943,T106,O,0109P,,NY,F,52,W 56th St,,0,408,I4,,Y,0800A,1200A,RD,,2007,,0,19,,,,
8675576778,HSF2325,NY,PAS,11/27/2018,21,4DSD,ACURA,T,0,0,0,20190604,49,49,49,365939,T201,G,1142A,,BX,I,S,Arnow Ave,50ft E/of White Plai,0,408,D1,,Y,1130A,0100P,GY,,2004,,0,11,,,,
8751352096,16213TC,NY,TRC,05/22/2019,69,TRAC,PETER,T,34470,10410,10510,20200131,14,14,14,341943,T106,O,0646A,,NY,O,05,W 35th St,,0,408,H1,,YYYYY,0600A,0600P,RD,,2013,,0,22,,,,
8627374697,63066JM,NY,COM,09/19/2018,71,DELV,GMC,T,13610,0,0,88880088,20,20,20,363966,T103,Q,0609P,,NY,I,E,Broadway,10ft S/of W 79th St,0,408,I4,,YYYYYYY,,,BROWN,,1988,,0,01,,,,
8703468033,25188MG,NY,COM,02/04/2019,48,VAN,ISUZU,T,17770,97680,10010,20210131,17,17,17,349481,MTTF,F,0101P,,NY,F,330,E 39th St,,0,408,C,,YYYYYYY,,,WH,,2015,,0,19,,,,
8685328317,PDK7992,NC,PAS,09/06/2018,21,SUBN,NISSA,T,70330,94630,30150,20181088,75,75,75,354144,T802,B,0027A,,K,F,942,Pennsylvania Ave,,0,408,D1,,Y  Y,1200A,0300A,RED,,0,,0,O,,,,
8640284556,16174TC,NY,TRC,08/29/2018,19,TRAC,MACK,T,59990,15140,15290,20190131,112,112,112,353451,T402,E,0344P,,Q,F,109-10,Queens Blvd,,0,408,J3,,YYYYYYY,,,GY,,0,,0,08,,,,
8682607311,91036MD,NY,COM,08/17/2018,47,REFG,HIN,T,10110,17610,17630,20181231,13,13,13,364822,T102,A,0706A,,NY,F,560,2nd Ave,,0,408,C,,Y,0700A,0700P,WH,,2014,,0,99,,,,
1447382638,ZJB5076,PA,PAS,02/14/2019,46,P-U,FORD,P,28990,29890,31490,0,7,7,7,928350,0007,0000,0911A,,,O,85,PITT STREET,,0,408,F1,,BBBBBBB,ALL,ALL,R,0,0,-,0,,,,,
8693849293,46643MH,NY,COM,03/02/2019,48,VAN,FORD,T,67530,25130,80730,88880088,67,67,67,366492,T302,Q,1042A,,K,F,465,Ocean Ave,,0,408,C,,YYYYYYY,,,ORANG,,2014,,0,09,,,,
8595026567,HSU4939,NY,PAS,06/28/2018,38,4DSD,ACURA,T,51090,20190,20340,20200522,102,102,102,367415,T402,S,1209P,,Q,F,108-07,Jamaica Ave,,0,408,F1,,Y,0900A,0700P,GY,,2010,,0,35,,,,
8681909897,HXH6943,NY,PAS,08/16/2018,71,SUBN,ROVER,T,20920,35720,76950,20190212,43,43,43,361794,T201,O,1120A,,BX,O,1205,Commonwealth Ave,,0,408,J3,,YYYYYYY,,,BL,,2004,,0,K,,,,
8728880250,HVN6790,NY,PAS,04/10/2019,71,SUBN,DODGE,T,70930,74730,72030,20200211,73,73,73,350428,T301,M,0803A,,K,O,1839,Pitkin Ave,,0,408,J6,,YYYYYYY,,,GY,,2005,,0,H,,,,
8634391917,2704418,IN,PAS,07/30/2018,84,REFG,FRUEH,T,10510,34530,34550,88880088,14,14,14,350408,T106,M,1239P,,NY,O,1029,6th Ave,,0,408,L2,,YYYYYYY,,,WHITE,,0,,0,42,,,,
8744955200,92425MD,NY,COM,04/18/2019,46,PICK,GMC,T,35210,14510,15710,20200228,20,20,20,361282,T103,L,0329P,,NY,F,12,W 72nd St,,0,408,F1,,YYYYYYY,,,RD,,2014,,0,M,,,,
5105939359,GAX4787,NY,PAS,04/02/2019,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0804A,,QN,,,EB GRAND CENTRAL PKW,Y SVC RD @ 72ND RD,0,1111,D,T,,,,GY,,2012,,0,,FAILURE TO STOP AT RED LIGHT,,,
8660128114,GRE9765,NY,PAS,01/09/2019,37,SUBN,INFIN,T,8780,6280,6380,20191031,66,66,66,358908,T302,D,0102P,1255P,K,O,1277,44th St,,0,408,I3,,YYYY,0900A,0700P,BK,,2017,311-3054,0,01,,,,
8598742375,HPJ6396,NY,PAS,07/28/2018,38,4DSD,TOYOT,T,13610,34810,34830,20190427,18,18,18,362259,T106,X,0916A,,NY,F,1675,Broadway,,0,408,I4,,Y,0800A,1200A,BL,,2001,,0,37,,,,
8647732625,HZZ3488,NY,PAS,11/02/2018,37,4DSD,NISSA,T,24140,18040,51090,20200726,103,103,103,356226,T402,G,0406P,0356P,Q,O,89-56,162nd St,,0,408,I3,,YYYYYY,0900A,0700P,WH,,2013,408-1955,0,19,,,,
4009357460,FJS9620,NY,PAS,09/06/2018,5,SUBN,INFIN,V,0,0,0,0,,0,0,0,,,0448P,,BK,,,SB UTICA AVE @ WINTH,ROP ST,0,1111,C,T,,,,BL,,2017,,0,,BUS LANE VIOLATION,,,
8700354880,HLD6374,NY,PAS,10/31/2018,83,SUBN,DODGE,T,34630,11010,11720,20190129,17,17,17,358204,T106,A,0813A,,NY,F,501,W 43rd St,,0,408,C,,YYYYYYY,,,WH,,2007,,0,D,,,,
4647999257,GXS6905,NY,PAS,09/24/2018,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,1124A,,BK,,,SB CONEY ISLAND AVE,@ CATON PL,0,1180,B,T,,,,BK,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8751127520,CXX6197,NY,999,06/20/2019,74,4DSD,HONDA,T,22820,63290,26940,88880088,105,105,105,350438,T402,N,0934A,,Q,F,219-18,143rd Ave,,0,408,J3,,YYYYYYY,,,RED,,0,,0,Q,,,,
1448672338,72170JU,NY,COM,02/05/2019,45,VAN,FORD,P,35490,44990,29690,20200228,24,24,24,876943,0024,0000,1112A,,NY,F,325,W 86 ST,,0,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,2018,-,0,,,,,
8736955565,HRT4891,NY,PAS,04/03/2019,38,VAN,FORD,T,9640,37290,8440,20190522,114,114,114,365921,T401,K,0908A,,Q,O,32-80,41st St,,0,408,C,,YYYYYY,0900A,0700P,BLACK,,2015,,0,24,,,,
8667215107,FWP9230,NY,PAS,07/19/2018,20,SUBN,HYUND,T,38470,12015,25250,20200426,122,122,122,367984,T303,E,0359P,,R,F,265,Mason Ave,,0,408,I4,,YYYYYYY,,,WH,,2011,,0,06-P,,,,
8671602126,FLJ2588,NY,PAS,06/27/2018,21,4DSD,HONDA,T,28200,10620,15620,20190525,47,47,47,357732,T201,A,0946A,,BX,F,855,E 219th St,,0,408,J3,,Y,0930A,1100A,GY,,2014,,0,22,,,,
